ID,start_ID,end_ID,edge_location
e29b8400-550e-41d4-a716-446655440001,f47ac10b-58cc-4372-a567-0e02b2c3d479,9a7b330d-1c4b-4f3b-8c5e-2d7b1e4a2f3c,n
c963f66a-3fa8-5717-b3fc-2d7b1e4a2f3d,9a7b330d-1c4b-4f3b-8c5e-2d7b1e4a2f3c,3fa85f64-5717-4562-b3fc-2c963f66afa6,l
a56758cc-f47a-4372-0e02-b2c3d4790002,9a7b330d-1c4b-4f3b-8c5e-2d7b1e4a2f3c,550e8400-e29b-41d4-a716-446655440000,r
9b2d730e-4e1c-8c1f-5e4b-2a3d7f8e0003,3fa85f64-5717-4562-b3fc-2c963f66afa6,730e4e1c-9b2d-4d3a-8c1f-5e4b2a3d7f8e,l
11d21b4e-28ba-883f-0016-d3cca4270004,3fa85f64-5717-4562-b3fc-2c963f66afa6,1b4e28ba-2fa1-11d2-883f-0016d3cca427,r
3f0cec4c-c778-4abe-a668-5afa84904c7a,b9060ebc-dd59-4edf-8da3-32f63d67092b,325748e2-9f41-4b57-b31c-fa26d9885b44,n
22468e9d-3462-46e3-9c41-ebad41470b2e,325748e2-9f41-4b57-b31c-fa26d9885b44,aa7ed7e8-29cf-45f8-8707-883fdf54c3ce,l
88dbadfe-78f3-4845-9b75-104484c77cb3,325748e2-9f41-4b57-b31c-fa26d9885b44,d31e0604-cf40-428f-8d12-b380d5d38de6,r
dc6dd346-6b63-4104-b63f-e47113d1e6cd,d31e0604-cf40-428f-8d12-b380d5d38de6,f7fdccbe-3136-4996-b14b-059b44af427f,l
88bd5e5a-fa4e-4d80-83bd-027d010953ed,d31e0604-cf40-428f-8d12-b380d5d38de6,a7574c27-eff9-483d-9131-0a3fb5dbc6ea,r
115e2602-e158-45f2-ac19-0fe129f3dc84,f7fdccbe-3136-4996-b14b-059b44af427f,ad25ded6-f920-4a60-bbe5-81f13eda1da9,l
4be11cba-f6b4-4484-b3b8-92cfc542eea6,f7fdccbe-3136-4996-b14b-059b44af427f,8e83cfd8-77f7-46ae-add4-d89c4779928c,r
4ea256e8-6e0c-41ea-90d0-e8b2b5f18c9a,8e83cfd8-77f7-46ae-add4-d89c4779928c,6a91f9af-eae8-4149-b857-995d4597bc78,l
f4863b36-fd56-4600-8f26-c9ffb17ec4b7,8e83cfd8-77f7-46ae-add4-d89c4779928c,d06444be-dc42-4adc-9456-62a29a75781f,r
37f5dbe8-d494-459a-8d29-1ec71952fcf6,6a91f9af-eae8-4149-b857-995d4597bc78,7062cdb6-ffe5-479e-84b1-a77f6864cce2,l
a5f2db23-bb09-4546-ae1d-41871c193221,6a91f9af-eae8-4149-b857-995d4597bc78,c1f314f9-91c9-4164-bb29-3441028cde33,r
36282b76-abb2-4554-8d47-beba5674749e,d06444be-dc42-4adc-9456-62a29a75781f,d7ea2ded-c604-439a-8465-06dc12825c3b,l
2b9df842-aabd-4990-9ba8-691d747a5e02,d06444be-dc42-4adc-9456-62a29a75781f,dd5a5843-adb3-47f6-9484-ccc7a4b80c9c,r
7c8f9e6a-2b3f-4d1a-5c7e-8b2a3d9e6f5c,8b2a7d9e-6f5c-4a3f-1e7b-9c3f2a4d5f6e,2d3f1a6e-7b4c-5f9a-3d2c-1b4e8c9f6a7e,n
1b4e8c9f-6a7e-2d3f-1a6e-7b4c5f9a3d2c,2d3f1a6e-7b4c-5f9a-3d2c-1b4e8c9f6a7e,4a5b6e2d-3f1a-7b9c-8c3f-5f6e1d2c4b7a,l
3e7b1d2c-5f9a-4a6e-8b3f-2c4d1a7e9f6b,2d3f1a6e-7b4c-5f9a-3d2c-1b4e8c9f6a7e,0f3a2c1e-9b4d-4e7f-8c2a-1d3f5b6e7a9c,r
0a1b2c3d-4e5f-6a7b-8c9d-0e1f2a3b4c5d,9a8b7c6d-5e4f-3a2b-1c0d-9e8f7a6b5c4d,2f3e4d5c-6b7a-8d9e-0f1a-2b3c4d5e6f7a,n
f6e5d4c3-b2a1-0f9e-8d7c-6b5a4c3d2e1f,2f3e4d5c-6b7a-8d9e-0f1a-2b3c4d5e6f7a,1e2d3c4b-5a6f-7e8d-9c0b-1a2d3f4e5c6d,l
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,2f3e4d5c-6b7a-8d9e-0f1a-2b3c4d5e6f7a,8e9f0a1b-2c3d-4e5f-6a7b-8c9d0e1f2a3b,r
e1f2a3b4-c5d6-e7f8-a9b0-c1d2e3f4a5b6,8e9f0a1b-2c3d-4e5f-6a7b-8c9d0e1f2a3b,5d6c7b8a-9e0f-1d2c-3b4a-5d6e7f8a9b0c,l
8d9e0f1a-2b3c-4d5e-6f7a-8b9c0d1e2f3a,8e9f0a1b-2c3d-4e5f-6a7b-8c9d0e1f2a3b,a0b1c2d3-e4f5-6a7b-8c9d-0e1f2a3b4c5d,r
4a5b6c7d-8e9f-0a1b-2c3d-4e5f6a7b8c9d,a0b1c2d3-e4f5-6a7b-8c9d-0e1f2a3b4c5d,7b6c5d4e-3f2a-1b0c-9d8e-7f6a5b4c3d2e,l
a9b8c7d6-e5f4-3a2b-1c0d-9e8f7a6b5c4d,a0b1c2d3-e4f5-6a7b-8c9d-0e1f2a3b4c5d,4e5f6a7b-8c9d-0e1f-2a3b-4c5d6e7f8a9b,r
6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c,7b6c5d4e-3f2a-1b0c-9d8e-7f6a5b4c3d2e,9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,l
c2d3e4f5-a6b7-8c9d-0e1f-2a3b4c5d6e7f,7b6c5d4e-3f2a-1b0c-9d8e-7f6a5b4c3d2e,d3e4f5a6-7b8c-9d0e-1f2a-3b4c5d6e7f8a,r
